year,cap_percent,passing_percentage,passing_yards_per_attempt,games,passing_yards_per_game,rushing_yards_per_game,passing_tds_per_game,rushing_tds_per_game,sacks_per_game,turnovers_per_game
2007,2.869,65.3,7.8,15,210.26666666666668,13.6,2.1333333333333333,0.13333333333333333,3.1333333333333333,0.7333333333333333
2007,12.367,64.9,7.2,16,258.1875,0.625,1.625,0,1.0625,1.25
2007,0.399,56.5,7.2,16,236.6875,4.375,1.8125,0.1875,0.875,1.1875
2007,6.422,67.5,6.8,16,276.4375,3.25,1.75,0.0625,1,1.125
2007,9.217,56.1,6.3,16,208.5,4.3125,1.4375,0.0625,1.6875,1.25
2007,1.471,60,6.5,13,207.69230769230768,14.23076923076923,0.9230769230769231,0.07692307692307693,1.6153846153846154,0.8461538461538461
2007,1.778,63.6,7.5,16,218.5625,12.8125,1.25,0.0625,1.6875,0.875
2007,8.44,62.6,7.1,16,247.875,5.5625,1.75,0,2.0625,0.8125
2007,3.899,66.4,7.8,11,203.72727272727272,4.7272727272727275,0.8181818181818182,0,1.4545454545454546,0.8181818181818182
2007,7.523,65.4,7.8,16,252.5,-0.3125,1.9375,0.1875,1.3125,0.875
2007,9.885,60.2,6.9,16,197,2.0625,1.3125,0.0625,1.375,1
2007,6.734,68.9,8.3,16,300.375,6.125,3.125,0.125,1.3125,0.5
2007,8.18,64.4,8.1,16,263.1875,8.0625,2.25,0.125,1.5,1.1875
2008,12.028,63.6,7.5,16,252.375,12.9375,1.75,0.25,2.125,0.8125
2008,6.871,59.9,7,16,206.3125,6.3125,1.0625,0.125,2.875,0.9375
2008,10.345,64.3,6.4,12,211.41666666666666,2.5,0.8333333333333334,0.08333333333333333,1.6666666666666667,1.5
2008,3.448,68.2,7.8,13,235.69230769230768,4.3076923076923075,1.3076923076923077,0.07692307692307693,1.3846153846153846,0.5384615384615384
2008,2.874,50.2,5.7,10,161.5,5.5,0.9,0,1.4,0.8
2008,8.064,58.8,6.6,12,234.66666666666666,10.916666666666666,1.4166666666666667,0.16666666666666666,1.0833333333333333,0.8333333333333334
2008,7.759,65,8,16,316.8125,-0.0625,2.125,0,0.8125,1.0625
2008,11.135,60.3,6.8,16,202.375,0.625,1.3125,0.0625,1.6875,0.625
2008,4.18,53.5,6.5,11,159.54545454545453,10.181818181818182,0.8181818181818182,0,1.9090909090909092,0.6363636363636364
